0.5,1,0.92,1,1,1,0.92,1,1,1,1,1,0.92,1,1,1,0.9168,0.92,1,1,1,1,1,0.9168,1,1,1,1,0.92,1,1,1,0.9168,1,0.92,1
0.6,1,1,0.9168,1,0.9168,1,1,1,1,0.92,1,1,1,0.9168,1,1,1,1,1,0.9136,1,1,0.9104,1,1,1,1,0.92,1,1,0.9136,1,1,1,0.92
0.7,1,1,1,1,1,1,1,0.9104,1,0.9072,0.9168,0.9072,0.9104,0.9136,1,0.9136,1,1,1,1,1,1,1,1,1,1,1,1,0.92,1,0.9136,1,1,1,0.9136
0.8,0.9104,0.9136,1,1,0.9136,1,1,1,1,1,0.9008,1,0.9136,0.9168,0.9072,1,1,1,0.9136,0.9136,1,1,1,1,1,1,1,1,1,0.9104,1,1,1,1,0.9104
0.9,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9936,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8976,0.9072,0.9936,1,1,1,0.9008
1,0.9936,0.9936,0.9936,1,1,1,1,1,1,1,0.9872,0.9936,1,0.9936,0.9936,1,1,1,0.9936,0.9936,1,1,0.9936,1,1,0.9936,1,0.9936,0.9936,1,0.9936,1,1,1,1
1.1,1,0.9936,1,0.9936,1,1,0.9872,1,0.9904,1,0.9936,1,1,1,0.9936,0.9872,1,1,1,0.9904,0.9936,0.9936,0.9936,1,1,1,0.9936,1,1,0.872,0.8976,1,1,1,1
1.2,0.9936,0.9936,1,0.9936,0.9936,0.9936,1,1,1,1,0.9936,0.9872,0.9936,0.9936,1,1,1,1,0.9936,1,0.9936,1,1,0.9936,0.9936,0.9936,1,0.9936,0.9936,0.9936,0.9744,1,0.9936,0.9936,0.9904
1.3,0.9936,0.9744,0.9936,0.9936,0.9808,0.984,0.9936,1,0.9936,0.9936,0.9744,0.9936,1,0.9872,0.9872,0.9872,1,0.9872,0.9936,0.984,0.9808,1,0.9936,0.9936,0.9872,1,0.9808,0.9936,0.9744,0.9936,1,1,0.9872,0.9936,0.984
1.4,0.9616,0.9808,0.9872,0.9808,0.9872,0.984,0.968,1,0.984,0.8656,0.9808,0.9648,0.9872,0.9712,0.9808,0.9936,0.9936,0.9552,0.9872,0.9776,0.9872,0.9776,0.9808,0.9584,0.9744,0.9936,0.9744,0.9872,1,0.9936,0.984,1,0.9936,0.9936,0.9936
